source_path,file_type,size,sha256,purpose,related_module,destination_path,action,reason,test_status
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/alpu-c_sot-23-6_0_sot23-6b_alpu.txt,documentation,287,1b753b50734efe0d1724c6fae232b4970ee587beab374b6116148d871dbdefe9,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/alpu-c_sot-23-6_0_sot23-6b_alpu.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ash-bin.bsm,data-or-source,12152,716ef3195f686b8514be27b18c2c09370583392ad6f58349bc968236ccd85982,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ash-bin.bsm,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ash-bin.dra,data-or-source,62436,28f7975c1a8b0441f8e73080a303572ed4d8f46199eee8257eab80636627a7eb,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ash-bin.dra,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball10p11s13.pad,data-or-source,3212,7efa6acc346dfc9d3d2ff099770fa201f8a7f619535afbe7eeca20ce6cb4a945,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball10p11s13.pad,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball10s14.pad,data-or-source,3208,1a3c489e225fa6faa495699482a221833ad0a3a30abbe6a42a503c15530a23ea,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball10s14.pad,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball12s16.pad,data-or-source,3208,71d588cc5650880c713e1388416ec27e3467cd005e395b9c87575f8ecaf527f9,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/ball12s16.pad,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga153-20-1414.dra,data-or-source,85088,bb478bf5cf5eb4dc624f52e65d7d9a4a49eb302909c339770594ae1a9c75ceaf,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga153-20-1414.dra,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga153-20-1414.psm,data-or-source,49020,3813775a5765f742ffd0bf3a0b1187247801e653784e2b4e800d23542bbf8a71,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga153-20-1414.psm,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga200-26-2212c.dra,data-or-source,93876,72a665a1fb6dc9fd5e993521b354a798392214fbc6029f6786dfc60b5ea7637b,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga200-26-2212c.dra,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga200-26-2212c.psm,data-or-source,61732,7397f0d8b75f0aba6ae267b99c2c56daf9ff4771ea2f6688a5c901618d98d958,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/bga200-26-2212c.psm,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/blm03ag700sn1d.txt,documentation,206,06f2fea019cd7c90b973342b68e7acfe08a27b914bf079c3988d67c9d2af854b,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/blm03ag700sn1d.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/break_erect-5mm-lower_left-v2.bsm,data-or-source,133524,d7150470c747dce5d175c25e53d680ca4c5e17159b8e8ad4e49c7f22b0bd625b,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/break_erect-5mm-lower_left-v2.bsm,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/break_erect-5mm-lower_left-v2.dra,data-or-source,187220,326ccc44a443f26c53e9940907b943e7ad41e0b72a6b03c6fce5cffb8c94f82f,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/break_erect-5mm-lower_left-v2.dra,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_01uf.txt,documentation,237,126b5a088bfbf7fbdf4342a8de97dff638d2bee69bedee1bda9b9bdf96b9df49,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_01ufnc.txt,documentation,245,1dea6221152d8b5585ea6207d11f3e00044a4bae52b82b50f7d998e85001f5c0,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_01ufnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_100nfnc.txt,documentation,240,87aaf6dad28ddc8cd5ee0e68c5f73c1d43a2ecff85455430188f2e6555554487,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_100nfnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_10uf.txt,documentation,184,94ba8bb7784c8d05bb2dd4d145dc4376d5f1cababe482c3e556c424f1727b7c2,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_10uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_1ufnc.txt,documentation,230,05714d8f252cd850a803628cb79c1123f9a8a255dc9e8c45073b3c1732af8df0,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_1ufnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_22nf.txt,documentation,231,7a8a8261895d8a831e3c8cb989143a8c785d27b8b0e26809e2a2b27e553b5f34,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0402_22nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0805_22uf10v.txt,documentation,240,d27464e1a2ee356a92444f9551f47a6509c1e6efecd85227cd0c461ddc75e718,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_0_sc0805_22uf10v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_10_sc0402_01uf.txt,documentation,269,69d469b9243e0aabff89406bc734c59b6dcaf3ae7ebfe97d825053c44e036063,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_10_sc0402_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_1_sc0402_1nf.txt,documentation,180,f62e25aa34338f2e675f961254ff281058b69e2be38a158a4136b145262ff224,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_1_sc0402_1nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_2_sc0402_18pf.txt,documentation,184,494eacdd10e6ffebc99c7c47234f16ac3e193debb35d2e6dbd0712ed753c9629,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_2_sc0402_18pf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_01uf.txt,documentation,231,180ecd39ee13a317323c3716d0be8f4e78a3a50f4cd5296c08adff71463b94d4,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_220pf.txt,documentation,188,7edd1c366e90531b25790cfdead57690ce308ce8c49258da98aa9d408378f7f3,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_220pf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_22nf.txt,documentation,231,493d87d7c198e57da89f7af6c8459e052804487dd1092d39837471e8949dae2f,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0402_22nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0603_47uf63v.txt,documentation,250,59cb29ac73e49357ba07a146be58420e0a91c8615ebee61ec6bb0e2da00d5118,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0603_47uf63v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0805_22uf10v.txt,documentation,240,762f9980f11978647cb10a4cc9e983d4ebd3bfa9f24ab7c548a6fd337f51ec23,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_4_sc0805_22uf10v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_6_sc0603_47uf63v.txt,documentation,286,9eb8930216fdab47e84817a68a7bd57aeecea4f48ed234de82da1e7ae2d2a8ea,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_6_sc0603_47uf63v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_7_sc0402_220pf.txt,documentation,218,89199b8d76dd3364e35957d02a629556107b6debf4e17726f02f58d0be18f204,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_7_sc0402_220pf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_9_sc0402_01uf.txt,documentation,263,d0be99681d479f26c2147bfcedcd79c6723730f8cc87aff4e2561b0946af62de,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_9_sc0402_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_01uf.txt,documentation,277,e2a1424c860319e584fe0b766f536e599c6a19918f43962c12bff36b4d319a3f,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_1uf.txt,documentation,226,be632e5c32b870549cd0301a181d2cf17f3b64d2c06bce30dbaa0a9b3f6eada0,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_1uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_22uf.txt,documentation,277,1c848bb94b541f0c0008d5b972d953c24627a36c3e4f31804058ce5a4e2b03ba,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_22uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_22ufnc.txt,documentation,294,9529eef7a389ad6a8ac525824297ed35f9fc14c19d60b7ff91d414e643e1aa97,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_22ufnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_470nf.txt,documentation,236,e09890a5dd2821f1857bdc63a09a5da26ff71a0b569ec2faa613e78514e54790,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-bga_470nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-pc_47uf.txt,documentation,271,e562f8a514af3bb1e903f161fe1e3fc68fa6595819edd3774d4467eedcd7cd5e,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402-pc_47uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_01uf.txt,documentation,251,c377bf115bdc177897a9027de66975333784855cda6fad30ee4fc6fbad6401f1,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_01uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_10uf.txt,documentation,203,cdc299c840f5c6f99ec356f4331e04ac6970b1d8dbf819f2a17da2c8f11ee02a,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_10uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_1nf.txt,documentation,198,44cc6723678945a3d6a6ab461b27a4a974478a0ee37d476e965a06db6ccd192d,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_1nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_1uf.txt,documentation,198,b255f939eb282dfa39435e0df7e1f75f2d0032ea7702e81b4571115d9366b110,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_1uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_220pf.txt,documentation,208,3c5fe7c0097c05d62da0b88011096833bb9e00a5a6d6e0238f882832b8621226,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_220pf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_22uf.txt,documentation,251,963ff2b6de3530b294b80011889ca5cc14349c912798a0da73d7abc04704f345,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_22uf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_270pf.txt,documentation,208,dc1a0000436fd53ad45d44efb926d6350ee36c276d95fee63ecc4450ae10eab3,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_270pf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_2pfnc.txt,documentation,249,9513d5e91134c7499b43fedf2755f4e78e5e799d5b903b4d399d5062dd6ed57e,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_2pfnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_470nf.txt,documentation,208,683a8f4a319f9d6f1710c6ab3bdc5bdf2bddd505d38b80f1c18a91e9e0124103,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0402_470nf.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0603_47uf63v.txt,documentation,274,550df1eec8f3cfe30f46d8d218333ce083b31a955f059960db543d17d11d75d9,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0603_47uf63v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0603_47uf63vnc.txt,documentation,291,557ff5278e1e56ef669e6bb22ec689597b1acea2ff7a3d986d696ae0b872bbfd,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0603_47uf63vnc.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0805_22uf10v.txt,documentation,261,db05ec254e64e337706d5b6bad91cde6f5545eb3cf90f2413560530293bb3c06,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/c_sc0805_22uf10v.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/cham_rec_1_1x0_85mm.pad,data-or-source,3224,fb803858890a04d626beee9cb07ed9bd6fb748d3528eb3f744de55467bcbf71a,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/cham_rec_1_1x0_85mm.pad,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
07硬件资料/01.板级文件/01.核心板/04.封装库/lib/con4_2_df40c-100dp-0_4_df40c-10.txt,documentation,1105,cf41b29d5e5276179c90d578936495d5f0db3853e823c5ca47784b1c215c0742,vendor hardware or platform reference,vendor-hardware-reference,10_archive/sanda_ss928/source-reference/07硬件资料/01.板级文件/01.核心板/04.封装库/lib/con4_2_df40c-100dp-0_4_df40c-10.txt,ARCHIVE,reference-only SDK/vendor/mirror material is indexed at the exact source commit and not added to the formal runtime,not_applicable
